OBJECTID,Year_Observed,StnLocation,Latitude,Longitude,Didemnum_vexillum,FCName,StnNum,Prov,Botrylloides_violaceus,Botryllus_schlosseri,Ciona_intestinalis,sampler,StnDescription,StructureType,Caprella_mutica,Membranipora_membranacea,Ascidiella_aspersa,Diplosoma_listerianum,Styela_clava,Codium_fragile
90,2017,Lobster Bay,43.7000029,-65.9500998,0,Dvex_2013_2017,,,,,,,,,,,,,,
91,2017,East Bay,45.3725147,-64.3638802,0,Dvex_2013_2017,,,,,,,,,,,,,,
92,2017,Greville,45.389865,-64.6388197,0,Dvex_2013_2017,,,,,,,,,,,,,,
93,2017,Clark Pt,45.0860107,-66.9198649,0,Dvex_2013_2017,,,,,,,,,,,,,,
94,2017,Fairhaven,44.9621808,-67.0111142,0,Dvex_2013_2017,,,,,,,,,,,,,,
95,2017,Wilsons Beach,44.9324254,-66.9418229,0,Dvex_2013_2017,,,,,,,,,,,,,,
96,2017,Harbour De Loutre,44.9216902,-66.9399672,0,Dvex_2013_2017,,,,,,,,,,,,,,
97,2017,Welshpool,44.8949722,-66.9601664,0,Dvex_2013_2017,,,,,,,,,,,,,,
98,2017,SABS,45.0811357,-67.0862921,0,Dvex_2013_2017,,,,,,,,,,,,,,
99,2017,BI2017 - tow # 3,44.09616667,-66.49325,0,Dvex_2013_2017,,,,,,,,,,,,,,
100,2017,BI2017 - tow # 22,44.09716667,-66.40975,0,Dvex_2013_2017,,,,,,,,,,,,,,
101,2017,BI2017 - tow # 28,44.07626667,-66.3437,0,Dvex_2013_2017,,,,,,,,,,,,,,
102,2017,BI2017 - tow # 32,44.004,-66.38278333,0,Dvex_2013_2017,,,,,,,,,,,,,,
103,2017,BI2017 - tow # 34,44.03895,-66.31886667,0,Dvex_2013_2017,,,,,,,,,,,,,,
104,2017,BI2017 - tow # 36,44.07266667,-66.30156667,0,Dvex_2013_2017,,,,,,,,,,,,,,
105,2017,BI2017 - tow # 51,43.87091667,-66.32701667,0,Dvex_2013_2017,,,,,,,,,,,,,,
106,2017,BI2017 - tow # 85,43.99783333,-66.44801667,0,Dvex_2013_2017,,,,,,,,,,,,,,
107,2017,BI2017 - tow # 88,43.9256,-66.35485,0,Dvex_2013_2017,,,,,,,,,,,,,,
108,2017,BI2017 - tow # 114,43.67963333,-66.19753333,0,Dvex_2013_2017,,,,,,,,,,,,,,
109,2017,SFA292017 - tow # 11,43.50016667,-66.3032,0,Dvex_2013_2017,,,,,,,,,,,,,,
110,2017,SFA292017 - tow # 12,43.53408333,-66.29405,0,Dvex_2013_2017,,,,,,,,,,,,,,
111,2017,SFA292017 - tow # 13,43.49563333,-66.33683333,0,Dvex_2013_2017,,,,,,,,,,,,,,
112,2017,SFA292017 - tow # 16,43.48116667,-66.23378333,0,Dvex_2013_2017,,,,,,,,,,,,,,
113,2017,SFA292017 - tow # 17,43.47608333,-66.21551667,0,Dvex_2013_2017,,,,,,,,,,,,,,
114,2017,SFA292017 - tow # 20,43.48261667,-66.12411667,0,Dvex_2013_2017,,,,,,,,,,,,,,
115,2017,SFA292017 - tow # 27,43.42986667,-66.06806667,0,Dvex_2013_2017,,,,,,,,,,,,,,
116,2017,SFA292017 - tow # 28,43.42301667,-66.11588333,0,Dvex_2013_2017,,,,,,,,,,,,,,
117,2017,SFA292017 - tow # 94,43.52911667,-66.2301,0,Dvex_2013_2017,,,,,,,,,,,,,,
118,2017,BF2017 - tow # 2,44.51045,-66.1032,0,Dvex_2013_2017,,,,,,,,,,,,,,
119,2017,BF2017 - tow # 16,44.62421667,-65.93528333,0,Dvex_2013_2017,,,,,,,,,,,,,,
120,2017,BF2017 - tow # 113,45.12166667,-65.21906667,0,Dvex_2013_2017,,,,,,,,,,,,,,
121,2017,BF2017 - tow # 186,45.14291667,-65.8438,0,Dvex_2013_2017,,,,,,,,,,,,,,
122,2017,BF2017 - tow # 244,44.66406667,-65.74915,0,Dvex_2013_2017,,,,,,,,,,,,,,
123,2017,BF2017 - tow # 245,44.66285,-65.74246667,0,Dvex_2013_2017,,,,,,,,,,,,,,
124,2017,BF2017 - tow # 305,45.31153333,-64.9131,0,Dvex_2013_2017,,,,,,,,,,,,,,
125,2017,BF2017 - tow # 309,45.2536,-64.94606667,1,Dvex_2013_2017,,,,,,,,,,,,,,
126,2010,Musquash,45.1867,-66.2575,,BS_NB2010,132,NB,0,0,0,,,,,,,,,
127,2010,Dipper Harbour,45.0944,-66.4168,,BS_NB2010,133,NB,0,1,1,,,,,,,,,
128,2010,Beaver Harbour NB,45.0688,-66.7398,,BS_NB2010,135,NB,1,1,3,,,,,,,,,
129,2010,North Head,44.768,-66.762,,BS_NB2010,136,NB,0,1,1,,,,,,,,,
130,2010,Ingalls Head,44.6609,-66.7566,,BS_NB2010,137,NB,0,1,1,,,,,,,,,
131,2010,Wallace Cove,45.0466,-66.8052,,BS_NB2010,138,NB,0,1,2,,,,,,,,,
132,2010,Lime Kiln Bay,45.0594,-66.8217,,BS_NB2010,139,NB,0,0,1,,,,,,,,,
133,2010,Seal Cove,44.6474,-66.8413,,BS_NB2010,140,NB,0,1,1,,,,,,,,,
134,2010,Back Bay,45.0561,-66.8638,,BS_NB2010,141,NB,0,1,2,,,,,,,,,
135,2010,Letete,45.0513,-66.8956,,BS_NB2010,143,NB,0,0,1,,,,,,,,,
136,2010,Head Harbour,44.9466,-66.9055,,BS_NB2010,144,NB,0,1,3,,,,,,,,,
137,2010,Wilson Beach,44.9283,-66.939,,BS_NB2010,145,NB,1,1,1,,,,,,,,,
138,2010,Leonardville,44.9716,-66.9527,,BS_NB2010,146,NB,0,1,3,,,,,,,,,
139,2010,Indian Island,44.9349,-66.9691,,BS_NB2010,147,NB,0,0,3,,,,,,,,,
140,2010,Fairhaven,44.96,-67.0079,,BS_NB2010,149,NB,0,1,2,,,,,,,,,
141,2010,Fairhaven MF,44.964,-67.0143,,BS_NB2010,150,NB,0,1,2,,,,,,,,,
142,2010,St.Andrews,45.0677,-67.0531,,BS_NB2010,151,NB,0,1,2,,,,,,,,,
143,2010,SABS,45.0823,-67.0847,,BS_NB2010,152,NB,0,0,2,,,,,,,,,
144,2010,Crow Island,45.0421,-66.875,,BS_NB2010,153,NB,0,0,1,,,,,,,,,
145,2009,Digby; RWNSYC,44.63015,-65.75233,,BS_NS2009,1,NS,,1,,,,,,,,,,
146,2009,Meteghan,44.19365,-66.16688,,BS_NS2009,2,NS,,1,,,,,,,,,,
147,2009,Yarmouth; PEM,43.836,-66.1233,,BS_NS2009,3,NS,,0,,,,,,,,,,
148,2009,Yarmouth Bar,43.81648,-66.14785,,BS_NS2009,4,NS,,1,,,,,,,,,,
149,2009,Wedgeport,43.7137,-65.96947,,BS_NS2009,6,NS,,1,,,,,,,,,,
150,2009,Camp Cove,43.7236,-65.84057,,BS_NS2009,7,NS,,1,,,,,,,,,,
151,2009,Clark?s Harbour-B,43.4447,-65.6351,,BS_NS2009,8,NS,,1,,,,,,,,,,
152,2009,Port La Tour,43.49848,-65.46988,,BS_NS2009,9,NS,,1,,,,,,,,,,
153,2009,Ingomar,43.56273,-65.36245,,BS_NS2009,10,NS,,1,,,,,,,,,,
154,2009,Gunning Cove,43.68073,-65.33973,,BS_NS2009,11,NS,,1,,,,,,,,,,
155,2009,Shelburne; YC,43.7578,-65.322,,BS_NS2009,12,NS,,1,,,,,,,,,,
156,2009,Lockeport,43.6995,-65.1074,,BS_NS2009,13,NS,,1,,,,,,,,,,
157,2009,Lower Sandy Point,43.68013,-65.30135,,BS_NS2009,14,NS,,1,,,,,,,,,,
158,2009,Moose Harbour,44.0187,-64.6644,,BS_NS2009,15,NS,,1,,,,,,,,,,
159,2009,Lunenburg,44.37525,-64.30687,,BS_NS2009,18,NS,,1,,,,,,,,,,
160,2009,Indian Point Marine Farms,44.45598,-64.30683,,BS_NS2009,19,NS,,1,,,,,,,,,,
161,2009,Mahone Bay,44.44782,-64.37437,,BS_NS2009,20,NS,,1,,,,,,,,,,
162,2009,Chester,44.5378,-64.2384,,BS_NS2009,21,NS,,2,,,,,,,,,,
163,2009,Hubbards,44.63768,-64.05907,,BS_NS2009,22,NS,,2,,,,,,,,,,
164,2009,Halifax; BIO Jetty,44.68187,-63.61187,,BS_NS2009,24,NS,,1,,,,,,,,,,
165,2009,Cape Canso,45.3345,-60.9861,,BS_NS2009,39,NS,,1,,,,,,,,,,
166,2009,Eddy Point,45.521,-61.26368,,BS_NS2009,40,NS,,1,,,,,,,,,,
167,2009,Venus Cove,45.6153,-61.3901,,BS_NS2009,41,NS,,1,,,,,,,,,,
168,2009,Petit de Grat-A,45.5071,-60.9605,,BS_NS2009,44,NS,,1,,,,,,,,,,
169,2009,"D?Escousse, LPYC",45.5887,-60.9618,,BS_NS2009,45,NS,,1,,,,,,,,,,
170,2009,Little Harbour,45.58333,-60.74067,,BS_NS2009,46,NS,,1,,,,,,,,,,
171,2009,St. Peter?s,45.66115,-60.8744,,BS_NS2009,47,NS,,1,,,,,,,,,,
172,2009,Gillis Cove,45.911,-61.0539,,BS_NS2009,48,NS,,1,,,,,,,,,,
173,2009,Whycocomagh,45.9864,-61.1126,,BS_NS2009,51,NS,,1,,,,,,,,,,
174,2009,Orangedale,45.9007,-61.08955,,BS_NS2009,52,NS,,1,,,,,,,,,,
175,2009,Nyanza,46.08937,-60.89027,,BS_NS2009,53,NS,,1,,,,,,,,,,
176,2009,Eskasoni,45.9557,-60.5853,,BS_NS2009,54,NS,,1,,,,,,,,,,
177,2009,Baddeck,46.0999,-60.74752,,BS_NS2009,55,NS,,1,,,,,,,,,,
178,2009,Fourchu,45.7167,-60.2452,,BS_NS2009,56,NS,,2,,,,,,,,,,
179,2009,Gabarus,45.8202,-60.1545,,BS_NS2009,57,NS,,3,,,,,,,,,,
180,2009,Louisbourg,45.91798,-59.98935,,BS_NS2009,58,NS,,1,,,,,,,,,,
181,2009,Main a Dieu,46.0065,-59.8411,,BS_NS2009,59,NS,,1,,,,,,,,,,
182,2009,Sydney; RCBYC,46.13993,-60.16775,,BS_NS2009,62,NS,,2,,,,,,,,,,
183,2009,North Sydney,46.2068,-60.249,,BS_NS2009,63,NS,,1,,,,,,,,,,
184,2009,Alder Point,46.3085,-60.284,,BS_NS2009,64,NS,,2,,,,,,,,,,
185,2009,Englishtown-A,46.2848,-60.5428,,BS_NS2009,65,NS,,0,,,,,,,,,,
186,2009,New Campbellton,46.28908,-60.43633,,BS_NS2009,66,NS,,1,,,,,,,,,,
187,2009,Ingonish,46.6893,-60.3592,,BS_NS2009,67,NS,,2,,,,,,,,,,
188,2009,Neil?s Harbour,46.8075,-60.3201,,BS_NS2009,68,NS,,0,,,,,,,,,,
189,2009,Dingwall,46.9032,-60.4604,,BS_NS2009,69,NS,,2,,,,,,,,,,
190,2009,Bay St. Lawrence,47.0001,-60.4647,,BS_NS2009,70,NS,,2,,,,,,,,,,
191,2009,Cheticamp,46.6268,-61.01597,,BS_NS2009,71,NS,,2,,,,,,,,,,
192,2009,Inverness,46.23,-61.3169,,BS_NS2009,72,NS,,3,,,,,,,,,,
193,2009,Mabou-A,46.08573,-61.46442,,BS_NS2009,73,NS,,0,,,,,,,,,,
194,2009,Big Bras D?Or,46.28117,-60.425,,BS_NS2009,76,NS,,1,,,,,,,,,,
195,2009,Pictou,45.6744,-62.7118,,BS_NS2009,77,NS,,0,,,,,,,,,,
196,2009,Havre Boucher,45.6888,-61.5275,,BS_NS2009,79,NS,,0,,,,,,,,,,
197,2009,Robin?s Cove; IMBC,45.5062,-61.0999,,BS_NS2009,80,NS,,2,,,,,,,,,,
198,2009,Riverport,44.2896,-64.3446,,BS_NS2009,81,NS,,1,,,,,,,,,,
199,2009,Port Mouton,43.9194,-64.8434,,BS_NS2009,82,NS,,2,,,,,,,,,,
200,2009,East Bay-A,46.0167,-60.3889,,BS_NS2009,85,NS,,1,,,,,,,,,,
201,2009,East Bay-B,46.0136,-60.3892,,BS_NS2009,86,NS,,0,,,,,,,,,,
202,2009,Dundee Marina,45.7,-61.0911,,BS_NS2009,87,NS,,1,,,,,,,,,,
203,2009,Little Narrows,45.9919,-60.9842,,BS_NS2009,88,NS,,2,,,,,,,,,,
204,2009,Port Morien,46.1308,-59.8703,,BS_NS2009,89,NS,,1,,,,,,,,,,
205,2009,South Bar,46.1997,-60.2041,,BS_NS2009,90,NS,,1,,,,,,,,,,
221,2010,Musquash,45.1867,-66.2575,,BV_NB2010,132,NB,0,0,0,,,,,,,,,
222,2010,Dipper Harbour,45.0944,-66.4168,,BV_NB2010,133,NB,0,1,1,,,,,,,,,
223,2010,Beaver Harbour NB,45.0688,-66.7398,,BV_NB2010,135,NB,1,1,3,,,,,,,,,
224,2010,North Head,44.768,-66.762,,BV_NB2010,136,NB,0,1,1,,,,,,,,,
225,2010,Ingalls Head,44.6609,-66.7566,,BV_NB2010,137,NB,0,1,1,,,,,,,,,
226,2010,Wallace Cove,45.0466,-66.8052,,BV_NB2010,138,NB,0,1,2,,,,,,,,,
227,2010,Lime Kiln Bay,45.0594,-66.8217,,BV_NB2010,139,NB,0,0,1,,,,,,,,,
228,2010,Seal Cove,44.6474,-66.8413,,BV_NB2010,140,NB,0,1,1,,,,,,,,,
229,2010,Back Bay,45.0561,-66.8638,,BV_NB2010,141,NB,0,1,2,,,,,,,,,
230,2010,Letete,45.0513,-66.8956,,BV_NB2010,143,NB,0,0,1,,,,,,,,,
231,2010,Head Harbour,44.9466,-66.9055,,BV_NB2010,144,NB,0,1,3,,,,,,,,,
232,2010,Wilson Beach,44.9283,-66.939,,BV_NB2010,145,NB,1,1,1,,,,,,,,,
233,2010,Leonardville,44.9716,-66.9527,,BV_NB2010,146,NB,0,1,3,,,,,,,,,
234,2010,Indian Island,44.9349,-66.9691,,BV_NB2010,147,NB,0,0,3,,,,,,,,,
235,2010,Fairhaven,44.96,-67.0079,,BV_NB2010,149,NB,0,1,2,,,,,,,,,
236,2010,Fairhaven MF,44.964,-67.0143,,BV_NB2010,150,NB,0,1,2,,,,,,,,,
237,2010,St.Andrews,45.0677,-67.0531,,BV_NB2010,151,NB,0,1,2,,,,,,,,,
238,2010,SABS,45.0823,-67.0847,,BV_NB2010,152,NB,0,0,2,,,,,,,,,
239,2010,Crow Island,45.0421,-66.875,,BV_NB2010,153,NB,0,0,1,,,,,,,,,
240,2009,Digby; RWNSYC,44.63015,-65.75233,,BV_NS2009,1,NS,1,,,,,,,,,,,
241,2009,Meteghan,44.19365,-66.16688,,BV_NS2009,2,NS,1,,,,,,,,,,,
242,2009,Yarmouth; PEM,43.836,-66.1233,,BV_NS2009,3,NS,0,,,,,,,,,,,
243,2009,Yarmouth Bar,43.81648,-66.14785,,BV_NS2009,4,NS,1,,,,,,,,,,,
244,2009,Wedgeport,43.7137,-65.96947,,BV_NS2009,6,NS,1,,,,,,,,,,,
245,2009,Camp Cove,43.7236,-65.84057,,BV_NS2009,7,NS,1,,,,,,,,,,,
246,2009,Clark?s Harbour-B,43.4447,-65.6351,,BV_NS2009,8,NS,1,,,,,,,,,,,
247,2009,Port La Tour,43.49848,-65.46988,,BV_NS2009,9,NS,1,,,,,,,,,,,
248,2009,Ingomar,43.56273,-65.36245,,BV_NS2009,10,NS,1,,,,,,,,,,,
249,2009,Gunning Cove,43.68073,-65.33973,,BV_NS2009,11,NS,0,,,,,,,,,,,
250,2009,Shelburne; YC,43.7578,-65.322,,BV_NS2009,12,NS,0,,,,,,,,,,,
251,2009,Lockeport,43.6995,-65.1074,,BV_NS2009,13,NS,1,,,,,,,,,,,
252,2009,Lower Sandy Point,43.68013,-65.30135,,BV_NS2009,14,NS,1,,,,,,,,,,,
253,2009,Moose Harbour,44.0187,-64.6644,,BV_NS2009,15,NS,0,,,,,,,,,,,
254,2009,Lunenburg,44.37525,-64.30687,,BV_NS2009,18,NS,1,,,,,,,,,,,
255,2009,Indian Point Marine Farms,44.45598,-64.30683,,BV_NS2009,19,NS,1,,,,,,,,,,,
256,2009,Mahone Bay,44.44782,-64.37437,,BV_NS2009,20,NS,1,,,,,,,,,,,
257,2009,Chester,44.5378,-64.2384,,BV_NS2009,21,NS,1,,,,,,,,,,,
258,2009,Hubbards,44.63768,-64.05907,,BV_NS2009,22,NS,1,,,,,,,,,,,
259,2009,Halifax; BIO Jetty,44.68187,-63.61187,,BV_NS2009,24,NS,0,,,,,,,,,,,
260,2009,Cape Canso,45.3345,-60.9861,,BV_NS2009,39,NS,0,,,,,,,,,,,
261,2009,Eddy Point,45.521,-61.26368,,BV_NS2009,40,NS,0,,,,,,,,,,,
262,2009,Venus Cove,45.6153,-61.3901,,BV_NS2009,41,NS,0,,,,,,,,,,,
263,2009,Petit de Grat-A,45.5071,-60.9605,,BV_NS2009,44,NS,1,,,,,,,,,,,
264,2009,"D?Escousse, LPYC",45.5887,-60.9618,,BV_NS2009,45,NS,1,,,,,,,,,,,
265,2009,Little Harbour,45.58333,-60.74067,,BV_NS2009,46,NS,1,,,,,,,,,,,
266,2009,St. Peter?s,45.66115,-60.8744,,BV_NS2009,47,NS,0,,,,,,,,,,,
267,2009,Gillis Cove,45.911,-61.0539,,BV_NS2009,48,NS,0,,,,,,,,,,,
268,2009,Whycocomagh,45.9864,-61.1126,,BV_NS2009,51,NS,0,,,,,,,,,,,
269,2009,Orangedale,45.9007,-61.08955,,BV_NS2009,52,NS,0,,,,,,,,,,,
270,2009,Eskasoni,45.9557,-60.5853,,BV_NS2009,54,NS,0,,,,,,,,,,,
271,2009,Baddeck,46.0999,-60.74752,,BV_NS2009,55,NS,0,,,,,,,,,,,
272,2009,Fourchu,45.7167,-60.2452,,BV_NS2009,56,NS,1,,,,,,,,,,,
